treatment,date,jobdate,sampleid,imageid,filename,frame,parameter,roi,frame_avg,yii_avg,npq_avg,yii_std,npq_std,plantarea,obj_in_frame,unique_roi,gtype
control,2019-07-31,2019-07-31,tray5,1,diy_data\pimframes\control-20190731-tray5-1.tif,Fo,FvFm,0,26.9404,0.7450,0.0000,0.0267,0.0000,34.2000,True,True,wt
control,2019-07-31,2019-07-31,tray5,1,diy_data\pimframes\control-20190731-tray5-1.tif,Fo,FvFm,1,27.9579,0.7417,0.0000,0.0327,0.0000,27.5600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,1,diy_data\pimframes\control-20190731-tray5-1.tif,Fo,FvFm,2,26.7314,0.7418,0.0000,0.0244,0.0000,26.3600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,1,diy_data\pimframes\control-20190731-tray5-1.tif,Fo,FvFm,3,28.5264,0.7432,0.0000,0.0267,0.0000,30.3200,True,True,wt
control,2019-07-31,2019-07-31,tray5,1,diy_data\pimframes\control-20190731-tray5-1.tif,Fo,FvFm,4,23.6667,0.7382,0.0000,0.0286,0.0000,16.6800,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,1,diy_data\pimframes\control-20190731-tray5-1.tif,Fo,FvFm,5,25.8740,0.7448,0.0000,0.0277,0.0000,20.0000,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,1,diy_data\pimframes\control-20190731-tray5-1.tif,Fo,FvFm,6,nan,nan,nan,nan,nan,0.0000,nan,True,nan
control,2019-07-31,2019-07-31,tray5,1,diy_data\pimframes\control-20190731-tray5-1.tif,Fo,FvFm,7,25.5496,0.7523,0.0000,0.0280,0.0000,29.8400,True,True,kea3
control,2019-07-31,2019-07-31,tray5,1,diy_data\pimframes\control-20190731-tray5-1.tif,Fo,FvFm,8,23.3893,0.7496,0.0000,0.0304,0.0000,20.9600,True,True,kea3
control,2019-07-31,2019-07-31,tray5,2,diy_data\pimframes\control-20190731-tray5-2.tif,Fm,FvFm,0,104.5415,0.7450,0.0000,0.0267,0.0000,34.2000,True,True,wt
control,2019-07-31,2019-07-31,tray5,2,diy_data\pimframes\control-20190731-tray5-2.tif,Fm,FvFm,1,107.2801,0.7417,0.0000,0.0327,0.0000,27.5600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,2,diy_data\pimframes\control-20190731-tray5-2.tif,Fm,FvFm,2,103.0910,0.7418,0.0000,0.0244,0.0000,26.3600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,2,diy_data\pimframes\control-20190731-tray5-2.tif,Fm,FvFm,3,110.0356,0.7432,0.0000,0.0267,0.0000,30.3200,True,True,wt
control,2019-07-31,2019-07-31,tray5,2,diy_data\pimframes\control-20190731-tray5-2.tif,Fm,FvFm,4,89.7170,0.7382,0.0000,0.0286,0.0000,16.6800,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,2,diy_data\pimframes\control-20190731-tray5-2.tif,Fm,FvFm,5,100.0720,0.7448,0.0000,0.0277,0.0000,20.0000,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,2,diy_data\pimframes\control-20190731-tray5-2.tif,Fm,FvFm,6,nan,nan,nan,nan,nan,0.0000,nan,True,nan
control,2019-07-31,2019-07-31,tray5,2,diy_data\pimframes\control-20190731-tray5-2.tif,Fm,FvFm,7,102.0550,0.7523,0.0000,0.0280,0.0000,29.8400,True,True,kea3
control,2019-07-31,2019-07-31,tray5,2,diy_data\pimframes\control-20190731-tray5-2.tif,Fm,FvFm,8,92.7405,0.7496,0.0000,0.0304,0.0000,20.9600,True,True,kea3
control,2019-07-31,2019-07-31,tray5,7,diy_data\pimframes\control-20190731-tray5-7.tif,Fp,t40_ALon,0,103.6070,0.0048,0.0356,0.0164,0.0495,34.2000,True,True,wt
control,2019-07-31,2019-07-31,tray5,7,diy_data\pimframes\control-20190731-tray5-7.tif,Fp,t40_ALon,1,106.6009,0.0074,0.0326,0.0216,0.0478,27.5600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,7,diy_data\pimframes\control-20190731-tray5-7.tif,Fp,t40_ALon,2,101.9090,0.0062,0.0368,0.0155,0.0543,26.3600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,7,diy_data\pimframes\control-20190731-tray5-7.tif,Fp,t40_ALon,3,109.3008,0.0045,0.0370,0.0163,0.0481,30.3200,True,True,wt
control,2019-07-31,2019-07-31,tray5,7,diy_data\pimframes\control-20190731-tray5-7.tif,Fp,t40_ALon,4,88.8657,0.0050,0.0422,0.0187,0.0524,16.6800,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,7,diy_data\pimframes\control-20190731-tray5-7.tif,Fp,t40_ALon,5,97.8660,0.0089,0.0442,0.0213,0.0675,20.0000,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,7,diy_data\pimframes\control-20190731-tray5-7.tif,Fp,t40_ALon,6,nan,nan,nan,nan,nan,0.0000,nan,True,nan
control,2019-07-31,2019-07-31,tray5,7,diy_data\pimframes\control-20190731-tray5-7.tif,Fp,t40_ALon,7,100.3298,0.0090,0.0392,0.0225,0.0552,29.8400,True,True,kea3
control,2019-07-31,2019-07-31,tray5,7,diy_data\pimframes\control-20190731-tray5-7.tif,Fp,t40_ALon,8,90.3531,0.0158,0.0458,0.0348,0.0829,20.9600,True,True,kea3
control,2019-07-31,2019-07-31,tray5,8,diy_data\pimframes\control-20190731-tray5-8.tif,Fmp,t40_ALon,0,101.7006,0.0048,0.0356,0.0164,0.0495,34.2000,True,True,wt
control,2019-07-31,2019-07-31,tray5,8,diy_data\pimframes\control-20190731-tray5-8.tif,Fmp,t40_ALon,1,104.9695,0.0074,0.0326,0.0216,0.0478,27.5600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,8,diy_data\pimframes\control-20190731-tray5-8.tif,Fmp,t40_ALon,2,100.7253,0.0062,0.0368,0.0155,0.0543,26.3600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,8,diy_data\pimframes\control-20190731-tray5-8.tif,Fmp,t40_ALon,3,107.1464,0.0045,0.0370,0.0163,0.0481,30.3200,True,True,wt
control,2019-07-31,2019-07-31,tray5,8,diy_data\pimframes\control-20190731-tray5-8.tif,Fmp,t40_ALon,4,87.0264,0.0050,0.0422,0.0187,0.0524,16.6800,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,8,diy_data\pimframes\control-20190731-tray5-8.tif,Fmp,t40_ALon,5,96.9420,0.0089,0.0442,0.0213,0.0675,20.0000,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,8,diy_data\pimframes\control-20190731-tray5-8.tif,Fmp,t40_ALon,6,nan,nan,nan,nan,nan,0.0000,nan,True,nan
control,2019-07-31,2019-07-31,tray5,8,diy_data\pimframes\control-20190731-tray5-8.tif,Fmp,t40_ALon,7,99.3525,0.0090,0.0392,0.0225,0.0552,29.8400,True,True,kea3
control,2019-07-31,2019-07-31,tray5,8,diy_data\pimframes\control-20190731-tray5-8.tif,Fmp,t40_ALon,8,90.1527,0.0158,0.0458,0.0348,0.0829,20.9600,True,True,kea3
control,2019-07-31,2019-07-31,tray5,9,diy_data\pimframes\control-20190731-tray5-9.tif,Fp,t60_ALon,0,64.8152,0.0129,0.6400,0.0263,0.1908,34.2000,True,True,wt
control,2019-07-31,2019-07-31,tray5,9,diy_data\pimframes\control-20190731-tray5-9.tif,Fp,t60_ALon,1,66.4107,0.0140,0.6370,0.0352,0.1838,27.5600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,9,diy_data\pimframes\control-20190731-tray5-9.tif,Fp,t60_ALon,2,64.8452,0.0121,0.6317,0.0312,0.1833,26.3600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,9,diy_data\pimframes\control-20190731-tray5-9.tif,Fp,t60_ALon,3,65.6504,0.0154,0.6944,0.0288,0.1972,30.3200,True,True,wt
control,2019-07-31,2019-07-31,tray5,9,diy_data\pimframes\control-20190731-tray5-9.tif,Fp,t60_ALon,4,61.7194,0.0170,0.4800,0.0378,0.1766,16.6800,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,9,diy_data\pimframes\control-20190731-tray5-9.tif,Fp,t60_ALon,5,68.4840,0.0185,0.4792,0.0332,0.1976,20.0000,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,9,diy_data\pimframes\control-20190731-tray5-9.tif,Fp,t60_ALon,6,nan,nan,nan,nan,nan,0.0000,nan,True,nan
control,2019-07-31,2019-07-31,tray5,9,diy_data\pimframes\control-20190731-tray5-9.tif,Fp,t60_ALon,7,62.0000,0.0263,0.6372,0.0431,0.1722,29.8400,True,True,kea3
control,2019-07-31,2019-07-31,tray5,9,diy_data\pimframes\control-20190731-tray5-9.tif,Fp,t60_ALon,8,55.6355,0.0312,0.6796,0.0456,0.5247,20.9600,True,True,kea3
control,2019-07-31,2019-07-31,tray5,10,diy_data\pimframes\control-20190731-tray5-10.tif,Fmp,t60_ALon,0,64.4994,0.0129,0.6400,0.0263,0.1908,34.2000,True,True,wt
control,2019-07-31,2019-07-31,tray5,10,diy_data\pimframes\control-20190731-tray5-10.tif,Fmp,t60_ALon,1,65.6023,0.0140,0.6370,0.0352,0.1838,27.5600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,10,diy_data\pimframes\control-20190731-tray5-10.tif,Fmp,t60_ALon,2,64.0683,0.0121,0.6317,0.0312,0.1833,26.3600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,10,diy_data\pimframes\control-20190731-tray5-10.tif,Fmp,t60_ALon,3,65.5989,0.0154,0.6944,0.0288,0.1972,30.3200,True,True,wt
control,2019-07-31,2019-07-31,tray5,10,diy_data\pimframes\control-20190731-tray5-10.tif,Fmp,t60_ALon,4,61.5516,0.0170,0.4800,0.0378,0.1766,16.6800,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,10,diy_data\pimframes\control-20190731-tray5-10.tif,Fmp,t60_ALon,5,68.9200,0.0185,0.4792,0.0332,0.1976,20.0000,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,10,diy_data\pimframes\control-20190731-tray5-10.tif,Fmp,t60_ALon,6,nan,nan,nan,nan,nan,0.0000,nan,True,nan
control,2019-07-31,2019-07-31,tray5,10,diy_data\pimframes\control-20190731-tray5-10.tif,Fmp,t60_ALon,7,62.6635,0.0263,0.6372,0.0431,0.1722,29.8400,True,True,kea3
control,2019-07-31,2019-07-31,tray5,10,diy_data\pimframes\control-20190731-tray5-10.tif,Fmp,t60_ALon,8,56.6088,0.0312,0.6796,0.0456,0.5247,20.9600,True,True,kea3
control,2019-07-31,2019-07-31,tray5,11,diy_data\pimframes\control-20190731-tray5-11.tif,Fp,t80_ALon,0,48.1298,0.0449,1.1197,0.0468,0.2501,34.2000,True,True,wt
control,2019-07-31,2019-07-31,tray5,11,diy_data\pimframes\control-20190731-tray5-11.tif,Fp,t80_ALon,1,48.9782,0.0403,1.1420,0.0489,0.2610,27.5600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,11,diy_data\pimframes\control-20190731-tray5-11.tif,Fp,t80_ALon,2,47.8619,0.0413,1.1398,0.0438,0.5355,26.3600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,11,diy_data\pimframes\control-20190731-tray5-11.tif,Fp,t80_ALon,3,49.2784,0.0482,1.1641,0.0450,0.2380,30.3200,True,True,wt
control,2019-07-31,2019-07-31,tray5,11,diy_data\pimframes\control-20190731-tray5-11.tif,Fp,t80_ALon,4,47.3261,0.0453,0.9083,0.0542,0.6608,16.6800,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,11,diy_data\pimframes\control-20190731-tray5-11.tif,Fp,t80_ALon,5,51.8600,0.0499,0.8968,0.0463,0.3021,20.0000,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,11,diy_data\pimframes\control-20190731-tray5-11.tif,Fp,t80_ALon,6,nan,nan,nan,nan,nan,0.0000,nan,True,nan
control,2019-07-31,2019-07-31,tray5,11,diy_data\pimframes\control-20190731-tray5-11.tif,Fp,t80_ALon,7,46.0764,0.0567,1.1357,0.0532,0.2389,29.8400,True,True,kea3
control,2019-07-31,2019-07-31,tray5,11,diy_data\pimframes\control-20190731-tray5-11.tif,Fp,t80_ALon,8,41.8683,0.0582,1.1340,0.0615,0.2983,20.9600,True,True,kea3
control,2019-07-31,2019-07-31,tray5,12,diy_data\pimframes\control-20190731-tray5-12.tif,Fmp,t80_ALon,0,50.0187,0.0449,1.1197,0.0468,0.2501,34.2000,True,True,wt
control,2019-07-31,2019-07-31,tray5,12,diy_data\pimframes\control-20190731-tray5-12.tif,Fmp,t80_ALon,1,50.5907,0.0403,1.1420,0.0489,0.2610,27.5600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,12,diy_data\pimframes\control-20190731-tray5-12.tif,Fmp,t80_ALon,2,49.5569,0.0413,1.1398,0.0438,0.5355,26.3600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,12,diy_data\pimframes\control-20190731-tray5-12.tif,Fmp,t80_ALon,3,51.4802,0.0482,1.1641,0.0450,0.2380,30.3200,True,True,wt
control,2019-07-31,2019-07-31,tray5,12,diy_data\pimframes\control-20190731-tray5-12.tif,Fmp,t80_ALon,4,49.0815,0.0453,0.9083,0.0542,0.6608,16.6800,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,12,diy_data\pimframes\control-20190731-tray5-12.tif,Fmp,t80_ALon,5,54.2840,0.0499,0.8968,0.0463,0.3021,20.0000,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,12,diy_data\pimframes\control-20190731-tray5-12.tif,Fmp,t80_ALon,6,nan,nan,nan,nan,nan,0.0000,nan,True,nan
control,2019-07-31,2019-07-31,tray5,12,diy_data\pimframes\control-20190731-tray5-12.tif,Fmp,t80_ALon,7,48.5429,0.0567,1.1357,0.0532,0.2389,29.8400,True,True,kea3
control,2019-07-31,2019-07-31,tray5,12,diy_data\pimframes\control-20190731-tray5-12.tif,Fmp,t80_ALon,8,44.1393,0.0582,1.1340,0.0615,0.2983,20.9600,True,True,kea3
control,2019-07-31,2019-07-31,tray5,13,diy_data\pimframes\control-20190731-tray5-13.tif,Fp,t100_ALon,0,42.4795,0.0590,1.3836,0.0523,0.4963,34.2000,True,True,wt
control,2019-07-31,2019-07-31,tray5,13,diy_data\pimframes\control-20190731-tray5-13.tif,Fp,t100_ALon,1,43.0697,0.0544,1.3916,0.0561,0.3072,27.5600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,13,diy_data\pimframes\control-20190731-tray5-13.tif,Fp,t100_ALon,2,42.0713,0.0559,1.4065,0.0519,0.7058,26.3600,True,True,stn7
control,2019-07-31,2019-07-31,tray5,13,diy_data\pimframes\control-20190731-tray5-13.tif,Fp,t100_ALon,3,43.6609,0.0623,1.4315,0.0617,0.3802,30.3200,True,True,wt
control,2019-07-31,2019-07-31,tray5,13,diy_data\pimframes\control-20190731-tray5-13.tif,Fp,t100_ALon,4,40.4077,0.0595,1.2050,0.0638,0.6425,16.6800,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,13,diy_data\pimframes\control-20190731-tray5-13.tif,Fp,t100_ALon,5,43.7240,0.0695,1.2243,0.0659,0.4252,20.0000,True,True,vccn1
control,2019-07-31,2019-07-31,tray5,13,diy_data\pimframes\control-20190731-tray5-13.tif,Fp,t100_ALon,6,nan,nan,nan,nan,nan,0.0000,nan,True,nan
